Codigo_Familia,Actividad_Economica
R,"ARTES, ENTRETENIMIENTO Y RECREACIÓN."
A,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA."
Q,ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.
G,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.
O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.
J,INFORMACIÓN Y COMUNICACIÓN.
C,INDUSTRIAS MANUFACTURERAS.
N,ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.
S,OTRAS ACTIVIDADES DE SERVICIOS.
P,ENSEÑANZA.
B,EXPLOTACIÓN DE MINAS Y CANTERAS.
H,TRANSPORTE Y ALMACENAMIENTO.
X,BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO
V,SIN ACTIVIDAD ECONOMICA - CIIU
I,ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.
E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO."
L,ACTIVIDADES INMOBILIARIAS.
D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO."
K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.
M,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS."
T,ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.
F,CONSTRUCCIÓN.
W,BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO
9,VERIFICAR
U,ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES.
