Provincia,Canton,Parroquia,Clave_Ubicacion
MANABI,PUERTO LOPEZ,MACHALILLA,MANABI - PUERTO LOPEZ - MACHALILLA
MANABI,PUERTO LOPEZ,SALANGO,MANABI - PUERTO LOPEZ - SALANGO
MANABI,FLAVIO ALFARO,FLAVIO ALFARO,MANABI - FLAVIO ALFARO - FLAVIO ALFARO
MANABI,24 DE MAYO,NOBOA,MANABI - 24 DE MAYO - NOBOA
MANABI,SANTA ANA,LODANA,MANABI - SANTA ANA - LODANA
MANABI,PORTOVIEJO,RIOCHICO (RIO CHICO),MANABI - PORTOVIEJO - RIOCHICO (RIO CHICO)
MANABI,PORTOVIEJO,PUEBLO NUEVO,MANABI - PORTOVIEJO - PUEBLO NUEVO
MANABI,PUERTO LOPEZ,PUERTO LOPEZ,MANABI - PUERTO LOPEZ - PUERTO LOPEZ
MANABI,MANTA,TARQUI,MANABI - MANTA - TARQUI
MANABI,FLAVIO ALFARO,ZAPALLO,MANABI - FLAVIO ALFARO - ZAPALLO
MANABI,PEDERNALES,ATAHUALPA,MANABI - PEDERNALES - ATAHUALPA
MANABI,PICHINCHA,BARRAGANETE,MANABI - PICHINCHA - BARRAGANETE
MANABI,PORTOVIEJO,PORTOVIEJO,MANABI - PORTOVIEJO - PORTOVIEJO
MANABI,MONTECRISTI,GENERAL ELOY ALFARO,MANABI - MONTECRISTI - GENERAL ELOY ALFARO
MANABI,PORTOVIEJO,SAN PABLO,MANABI - PORTOVIEJO - SAN PABLO
MANABI,MONTECRISTI,EL COLORADO,MANABI - MONTECRISTI - EL COLORADO
MANABI,TOSAGUA,ANGEL PEDRO GILER (LA ESTANCILLA),MANABI - TOSAGUA - ANGEL PEDRO GILER (LA ESTANCILLA)
MANABI,MONTECRISTI,LA PILA,MANABI - MONTECRISTI - LA PILA
MANABI,PORTOVIEJO,COLÓN,MANABI - PORTOVIEJO - COLÓN
MANABI,SUCRE,BAHIA DE CARAQUEZ,MANABI - SUCRE - BAHIA DE CARAQUEZ
MANABI,MANTA,MANTA,MANABI - MANTA - MANTA
MANABI,BOLIVAR,CALCETA,MANABI - BOLIVAR - CALCETA
MANABI,SUCRE,LEONIDAS PLAZA GUTIERREZ,MANABI - SUCRE - LEONIDAS PLAZA GUTIERREZ
MANABI,CHONE,BOYACA,MANABI - CHONE - BOYACA
MANABI,EL CARMEN,EL CARMEN,MANABI - EL CARMEN - EL CARMEN
MANABI,PAJAN,CAMPOZANO (LA PALMA DE PAJAN),MANABI - PAJAN - CAMPOZANO (LA PALMA DE PAJAN)
MANABI,PORTOVIEJO,12 DE MARZO,MANABI - PORTOVIEJO - 12 DE MARZO
MANABI,PORTOVIEJO,CRUCITA,MANABI - PORTOVIEJO - CRUCITA
