Anio,Fecha,Codigo_Familia,Actividad_Economica,Provincia,Total_Inscripciones
2022,2026-02-02,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2022,2026-09-09,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2022,2026-09-09,B,EXPLOTACIÓN DE MINAS Y CANTERAS.,MANABI,1
2022,2026-02-02,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2022,2026-01-01,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2022,2026-07-07,E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.",MANABI,1
2022,2026-05-05,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2022,2026-05-05,E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.",MANABI,1
2022,2026-03-03,B,EXPLOTACIÓN DE MINAS Y CANTERAS.,MANABI,1
2022,2026-07-07,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2022,2026-03-03,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2022,2026-12-12,E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.",MANABI,1
2022,2026-12-12,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2022,2026-06-06,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2022,2026-04-04,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2022,2026-03-03,E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.",MANABI,1
2022,2026-09-09,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2023,2026-10-10,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2023,2026-05-05,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2023,2026-11-11,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2023,2026-08-08,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2023,2026-10-10,B,EXPLOTACIÓN DE MINAS Y CANTERAS.,MANABI,1
2023,2026-09-09,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2023,2026-06-06,E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.",MANABI,1
2023,2026-05-05,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2023,2026-07-07,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2023,2026-01-01,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2023,2026-04-04,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2023,2026-12-12,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2023,2026-12-12,D,"SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.",MANABI,1
2023,2026-06-06,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2024,2026-12-12,B,EXPLOTACIÓN DE MINAS Y CANTERAS.,MANABI,1
2024,2026-07-07,O,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.,MANABI,1
2024,2026-10-10,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2024,2026-08-08,K,ACTIVIDADES FINANCIERAS Y DE SEGUROS.,MANABI,1
2024,2026-06-06,E,"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.",MANABI,1
